,Dow Jones,Dow Jones,S&P 500,S&P 500,NASDAQ,NASDAQ
,Close,Change %,Close,Change %,Close,Change %
Date,,,,,,
2023-06-28 00:00:00-04:00,33852.66016,-0.218347324,4376.859863,-0.035407669,13591.75,0.266162265
2023-06-29 00:00:00-04:00,34122.42188,0.796870076,4396.439941,0.447354467,13591.33008,-0.003089535
2023-06-30 00:00:00-04:00,34407.60156,0.835754533,4450.379883,1.22690045,13787.91992,1.446435651
2023-07-03 00:00:00-04:00,34418.46875,0.031583682,4455.589844,0.11706778,13816.76953,0.209238301
2023-07-05 00:00:00-04:00,34288.64063,-0.377204826,4446.819824,-0.196831841,13791.65039,-0.181801836
2023-07-06 00:00:00-04:00,33922.26172,-1.068513944,4411.589844,-0.792251134,13679.04004,-0.816511066
2023-07-07 00:00:00-04:00,33734.87891,-0.552388912,4398.950195,-0.286510054,13660.71973,-0.133929811
2023-07-10 00:00:00-04:00,33944.39844,0.621076874,4409.529785,0.240502606,13685.48047,0.181255034
2023-07-11 00:00:00-04:00,34261.42188,0.9339492,4439.259766,0.674221106,13760.7002,0.549631609
2023-07-12 00:00:00-04:00,34347.42969,0.251033985,4472.160156,0.741123349,13918.95996,1.150085122
2023-07-13 00:00:00-04:00,34395.14063,0.138906864,4510.040039,0.847015346,14138.57031,1.577778456
2023-07-14 00:00:00-04:00,34509.03125,0.331124173,4505.419922,-0.102440713,14113.7002,-0.175902631
2023-07-17 00:00:00-04:00,34585.35156,0.221160403,4522.790039,0.385538251,14244.9502,0.929947485
2023-07-18 00:00:00-04:00,34951.92969,1.059923084,4554.97998,0.711727521,14353.63965,0.763003392
2023-07-19 00:00:00-04:00,35061.21094,0.312661564,4565.720215,0.235791034,14358.01953,0.030514092
2023-07-20 00:00:00-04:00,35225.17969,0.467664252,4534.870117,-0.675689622,14063.30957,-2.052580861
2023-07-21 00:00:00-04:00,35227.69141,0.007130464,4536.339844,0.032409452,14032.80957,-0.216876403
2023-07-24 00:00:00-04:00,35411.23828,0.521030098,4554.640137,0.403415388,14058.87012,0.185711541
2023-07-25 00:00:00-04:00,35438.07031,0.075772643,4567.459961,0.281467335,14144.55957,0.609504551
2023-07-26 00:00:00-04:00,35520.12109,0.23153287,4566.75,-0.01554389,14127.28027,-0.122162141
2023-07-27 00:00:00-04:00,35282.71875,-0.668360176,4537.410156,-0.642466606,14050.11035,-0.546247546
2023-07-28 00:00:00-04:00,35459.28906,0.50044418,4582.22998,0.987784279,14316.66016,1.897136734
