Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %
2023-11-21 00:00:00-05:00,35104.83984,35118.03906,35038.44141,35088.28906,271120000,0,0,-0.178515349
2023-11-22 00:00:00-05:00,35189.32813,35315.19922,35155.80078,35273.03125,237290000,0,0,0.526506685
2023-11-24 00:00:00-05:00,35299.89844,35399.44141,35299.89844,35390.14844,117040000,0,0,0.332030402
2023-11-27 00:00:00-05:00,35376.44141,35410.37109,35280.57031,35333.46875,258340000,0,0,-0.160156682
2023-11-28 00:00:00-05:00,35332.12891,35518.67188,35307.73047,35416.98047,256210000,0,0,0.236353015
2023-11-29 00:00:00-05:00,35436.80078,35579.12891,35405.89063,35430.42188,299330000,0,0,0.03795187
2023-11-30 00:00:00-05:00,35596.57031,35970.69922,35592.21875,35950.89063,435540000,0,0,1.468988294
2023-12-01 00:00:00-05:00,35914.44922,36264.85156,35914.44922,36245.5,321840000,0,0,0.819477264
2023-12-04 00:00:00-05:00,36089.37891,36238.17969,36029.69141,36204.44141,329450000,0,0,-0.113279148
2023-12-05 00:00:00-05:00,36135.64844,36164.67969,36010.85156,36124.55859,309250000,0,0,-0.220643682
2023-12-06 00:00:00-05:00,36183.73047,36292.57813,36024.25,36054.42969,283240000,0,0,-0.194130832
2023-12-07 00:00:00-05:00,36124.17188,36164.17188,36021.94922,36117.37891,287280000,0,0,0.174594965
2023-12-08 00:00:00-05:00,36084.82031,36296.19922,36061.64063,36247.87109,295180000,0,0,0.36130027
2023-12-11 00:00:00-05:00,36254.32813,36416.17969,36231.19141,36404.92969,342490000,0,0,0.433290533
2023-12-12 00:00:00-05:00,36442.10156,36596.10938,36373.21875,36577.94141,292770000,0,0,0.475242557
2023-12-13 00:00:00-05:00,36601.80078,37094.85156,36523.58984,37090.23828,354790000,0,0,1.400562348
2023-12-14 00:00:00-05:00,37115.62891,37287.5,37051.51953,37248.35156,455820000,0,0,0.426293517
2023-12-15 00:00:00-05:00,37194.5,37347.60156,37092.01953,37305.16016,788160000,0,0,0.152513041
2023-12-18 00:00:00-05:00,37330.14063,37393.44922,37284.85156,37306.01953,292120000,0,0,0.002303636
