,Dow Jones,Dow Jones,S&P 500,S&P 500,NASDAQ,NASDAQ
,Close,Change %,Close,Change %,Close,Change %
Date,,,,,,
2015-04-07 00:00:00-04:00,17875.41992,-0.030365937,2076.330078,-0.206190406,4910.22998,-0.144181058
2015-04-08 00:00:00-04:00,17902.50977,0.151548013,2081.899902,0.268253313,4950.819824,0.826638343
2015-04-09 00:00:00-04:00,17958.73047,0.314038109,2091.179932,0.445748102,4974.560059,0.479521276
2015-04-10 00:00:00-04:00,18057.65039,0.55081801,2102.060059,0.520286504,4995.97998,0.430589271
2015-04-13 00:00:00-04:00,17977.03906,-0.446410947,2092.429932,-0.458128059,4988.25,-0.154724008
2015-04-14 00:00:00-04:00,18036.69922,0.331868647,2095.840088,0.162975887,4977.290039,-0.21971555
2015-04-15 00:00:00-04:00,18112.60938,0.420865012,2106.629883,0.51481957,5011.02002,0.677677616
2015-04-16 00:00:00-04:00,18105.76953,-0.037762884,2104.98999,-0.077844361,5007.790039,-0.064457545
2015-04-17 00:00:00-04:00,17826.30078,-1.543534228,2081.179932,-1.131124552,4931.810059,-1.517235744
2015-04-20 00:00:00-04:00,18034.92969,1.170343241,2100.399902,0.923513167,4994.600098,1.273164179
2015-04-21 00:00:00-04:00,17949.58984,-0.473191996,2097.290039,-0.148060533,5014.100098,0.390421648
2015-04-22 00:00:00-04:00,18038.26953,0.494048545,2107.959961,0.508748036,5035.169922,0.42021148
2015-04-23 00:00:00-04:00,18058.68945,0.113203331,2112.929932,0.235771589,5056.060059,0.414884444
2015-04-24 00:00:00-04:00,18080.14063,0.118785873,2117.689941,0.225280058,5092.080078,0.71241281
2015-04-27 00:00:00-04:00,18037.9707,-0.233238904,2108.919922,-0.414131425,5060.25,-0.625089897
2015-04-28 00:00:00-04:00,18110.14063,0.400100006,2114.76001,0.27692317,5055.419922,-0.095451373
2015-04-29 00:00:00-04:00,18035.5293,-0.411986465,2106.850098,-0.374033558,5023.640137,-0.628628
2015-04-30 00:00:00-04:00,17840.51953,-1.081253355,2085.51001,-1.012890661,4941.419922,-1.636666095
2015-05-01 00:00:00-04:00,18024.06055,1.028787392,2108.290039,1.092300166,5005.390137,1.294571517
2015-05-04 00:00:00-04:00,18070.40039,0.257099912,2114.48999,0.294074869,5016.930176,0.23055224
2015-05-05 00:00:00-04:00,17928.19922,-0.786928728,2089.459961,-1.183738368,4939.330078,-1.546764554
2015-05-06 00:00:00-04:00,17841.98047,-0.480911378,2080.149902,-0.445572481,4919.640137,-0.39863587
2015-05-07 00:00:00-04:00,17924.06055,0.460039054,2088,0.377381344,4945.540039,0.526459286
2015-05-08 00:00:00-04:00,18191.10938,1.489890237,2116.100098,1.345790118,5003.549805,1.172971307
2015-05-11 00:00:00-04:00,18105.16992,-0.472425575,2105.330078,-0.508956053,4993.569824,-0.199458002
2015-05-12 00:00:00-04:00,18068.23047,-0.2040271,2099.120117,-0.294963768,4976.189941,-0.348045255
2015-05-13 00:00:00-04:00,18060.49023,-0.042838918,2098.47998,-0.030495478,4981.689941,0.110526328
