date,average_sentiment,num_articles
2022-07-21,0.9977979063987732,1
2022-07-27,0.9999827146530151,1
2022-07-29,0.9967401822408041,3
2022-07-31,0.9999651908874512,2
2022-08-04,0.265918493270874,3
2022-08-10,0.9998000264167786,1
2022-08-11,0.9993579387664795,2
2022-08-12,0.9984007477760315,2
2022-08-14,0.999176561832428,2
2022-08-15,0.9998873472213745,2
2022-08-22,0.9965087941714695,7
2022-08-23,0.9999967217445374,1
2022-08-24,0.9996223052342733,3
2022-08-26,0.9998716115951538,2
2022-08-31,0.999880462884903,2
2022-09-06,0.9999872744083405,4
2022-09-07,0.8767661452293396,1
2022-09-09,0.9999502897262573,1
2022-09-12,0.9998201330502828,3
2022-09-15,0.9993470907211304,2
2022-09-20,0.99998939037323,1
2022-09-30,0.9988901019096375,2
